week_start,market,sku_id,units,price,promo_flag,holiday_flag,temp_c,rain_mm
2023-01-02,Bengaluru,S001,24,9.86,0,0,25.82,6.68
2023-01-02,Bengaluru,S002,36,6.51,0,0,25.82,6.68
2023-01-02,Bengaluru,S003,50,16.22,0,0,25.82,6.68
2023-01-02,Bengaluru,S004,61,19.45,1,0,25.82,6.68
2023-01-02,Bengaluru,S005,59,14.94,0,0,25.82,6.68
2023-01-02,Bengaluru,S006,48,16.87,0,0,25.82,6.68
2023-01-02,Delhi,S001,30,10.06,0,0,26.73,5.89
2023-01-02,Delhi,S002,27,6.45,0,0,26.73,5.89
2023-01-02,Delhi,S003,27,16.26,0,0,26.73,5.89
2023-01-02,Delhi,S004,32,21.66,0,0,26.73,5.89
2023-01-02,Delhi,S005,32,15.52,0,0,26.73,5.89
2023-01-02,Delhi,S006,37,16.56,0,0,26.73,5.89
2023-01-02,Hyderabad,S001,46,9.94,0,0,27.31,4.86
2023-01-02,Hyderabad,S002,41,6.48,0,0,27.31,4.86
2023-01-02,Hyderabad,S003,47,16.19,0,0,27.31,4.86
2023-01-02,Hyderabad,S004,56,22.06,0,0,27.31,4.86
2023-01-02,Hyderabad,S005,71,15.13,0,0,27.31,4.86
2023-01-02,Hyderabad,S006,84,16.95,0,0,27.31,4.86
2023-01-02,Kolkata,S001,44,10.05,0,0,31.38,13.08
2023-01-02,Kolkata,S002,55,6.32,0,0,31.38,13.08
2023-01-02,Kolkata,S003,53,16.4,0,0,31.38,13.08
2023-01-02,Kolkata,S004,61,22.14,0,0,31.38,13.08
2023-01-02,Kolkata,S005,64,15.11,0,0,31.38,13.08
2023-01-02,Kolkata,S006,65,16.49,0,0,31.38,13.08
2023-01-02,Mumbai,S001,22,10.04,0,0,23.97,8.86
2023-01-02,Mumbai,S002,27,6.5,0,0,23.97,8.86
2023-01-02,Mumbai,S003,29,16.0,0,0,23.97,8.86
2023-01-02,Mumbai,S004,47,21.89,0,0,23.97,8.86
2023-01-02,Mumbai,S005,45,15.43,0,0,23.97,8.86
2023-01-02,Mumbai,S006,39,16.82,0,0,23.97,8.86
2023-01-09,Bengaluru,S001,27,9.97,0,0,27.56,6.63
2023-01-09,Bengaluru,S002,50,6.47,0,0,27.56,6.63
2023-01-09,Bengaluru,S003,39,15.92,0,0,27.56,6.63
2023-01-09,Bengaluru,S004,63,20.04,1,0,27.56,6.63
2023-01-09,Bengaluru,S005,62,14.98,0,0,27.56,6.63
2023-01-09,Bengaluru,S006,82,16.87,0,0,27.56,6.63
2023-01-09,Delhi,S001,29,10.02,0,0,30.71,5.21
2023-01-09,Delhi,S002,22,6.45,0,0,30.71,5.21
2023-01-09,Delhi,S003,36,16.38,0,0,30.71,5.21
2023-01-09,Delhi,S004,33,21.88,0,0,30.71,5.21
2023-01-09,Delhi,S005,40,15.28,0,0,30.71,5.21
2023-01-09,Delhi,S006,45,16.43,0,0,30.71,5.21
2023-01-09,Hyderabad,S001,48,10.16,0,0,25.38,5.39
2023-01-09,Hyderabad,S002,51,6.33,0,0,25.38,5.39
2023-01-09,Hyderabad,S003,65,15.93,0,0,25.38,5.39
2023-01-09,Hyderabad,S004,61,22.16,0,0,25.38,5.39
2023-01-09,Hyderabad,S005,68,15.36,0,0,25.38,5.39
2023-01-09,Hyderabad,S006,123,15.18,1,0,25.38,5.39
2023-01-09,Kolkata,S001,35,9.92,0,0,31.86,8.73
2023-01-09,Kolkata,S002,47,6.31,0,0,31.86,8.73
2023-01-09,Kolkata,S003,49,16.1,0,0,31.86,8.73
2023-01-09,Kolkata,S004,59,22.23,0,0,31.86,8.73
2023-01-09,Kolkata,S005,74,14.98,0,0,31.86,8.73
2023-01-09,Kolkata,S006,88,16.95,0,0,31.86,8.73
2023-01-09,Mumbai,S001,23,9.92,0,0,20.88,5.81
2023-01-09,Mumbai,S002,27,6.44,0,0,20.88,5.81
2023-01-09,Mumbai,S003,46,16.21,0,0,20.88,5.81
2023-01-09,Mumbai,S004,50,22.16,0,0,20.88,5.81
2023-01-09,Mumbai,S005,41,15.02,0,0,20.88,5.81
2023-01-09,Mumbai,S006,44,16.63,0,0,20.88,5.81
2023-01-16,Bengaluru,S001,32,9.78,0,0,27.93,7.56
2023-01-16,Bengaluru,S002,42,6.53,0,0,27.93,7.56
2023-01-16,Bengaluru,S003,46,16.16,0,0,27.93,7.56
2023-01-16,Bengaluru,S004,70,19.88,1,0,27.93,7.56
2023-01-16,Bengaluru,S005,78,13.6,1,0,27.93,7.56
2023-01-16,Bengaluru,S006,75,15.07,1,0,27.93,7.56
2023-01-16,Delhi,S001,27,9.07,1,0,28.52,5.39
2023-01-16,Delhi,S002,29,6.35,0,0,28.52,5.39
2023-01-16,Delhi,S003,33,16.15,0,0,28.52,5.39
2023-01-16,Delhi,S004,31,21.53,0,0,28.52,5.39
2023-01-16,Delhi,S005,37,15.22,0,0,28.52,5.39
2023-01-16,Delhi,S006,50,16.51,0,0,28.52,5.39
2023-01-16,Hyderabad,S001,38,10.11,0,0,26.07,7.17
2023-01-16,Hyderabad,S002,66,6.47,0,0,26.07,7.17
2023-01-16,Hyderabad,S003,59,15.89,0,0,26.07,7.17
2023-01-16,Hyderabad,S004,64,22.02,0,0,26.07,7.17
2023-01-16,Hyderabad,S005,99,13.73,1,0,26.07,7.17
2023-01-16,Hyderabad,S006,109,14.75,1,0,26.07,7.17
2023-01-16,Kolkata,S001,44,9.86,0,0,29.53,10.03
2023-01-16,Kolkata,S002,36,6.44,0,0,29.53,10.03
2023-01-16,Kolkata,S003,58,15.88,0,0,29.53,10.03
2023-01-16,Kolkata,S004,90,19.84,1,0,29.53,10.03
2023-01-16,Kolkata,S005,55,15.28,0,0,29.53,10.03
2023-01-16,Kolkata,S006,71,16.6,0,0,29.53,10.03
2023-01-16,Mumbai,S001,18,9.82,0,0,23.73,7.68
2023-01-16,Mumbai,S002,29,6.48,0,0,23.73,7.68
2023-01-16,Mumbai,S003,52,15.93,0,0,23.73,7.68
2023-01-16,Mumbai,S004,39,22.03,0,0,23.73,7.68
2023-01-16,Mumbai,S005,50,15.24,0,0,23.73,7.68
2023-01-16,Mumbai,S006,47,16.9,0,0,23.73,7.68
2023-01-23,Bengaluru,S001,53,10.17,0,0,30.97,6.73
2023-01-23,Bengaluru,S002,47,6.42,0,0,30.97,6.73
2023-01-23,Bengaluru,S003,48,16.43,0,0,30.97,6.73
2023-01-23,Bengaluru,S004,60,21.58,0,0,30.97,6.73
2023-01-23,Bengaluru,S005,77,13.74,1,0,30.97,6.73
2023-01-23,Bengaluru,S006,83,14.78,1,0,30.97,6.73
2023-01-23,Delhi,S001,39,8.91,1,0,33.19,8.43
2023-01-23,Delhi,S002,29,6.52,0,0,33.19,8.43
2023-01-23,Delhi,S003,31,16.12,0,0,33.19,8.43
2023-01-23,Delhi,S004,44,21.77,0,0,33.19,8.43
2023-01-23,Delhi,S005,35,15.54,0,0,33.19,8.43
2023-01-23,Delhi,S006,50,16.5,0,0,33.19,8.43
2023-01-23,Hyderabad,S001,51,9.85,0,0,26.98,6.49
2023-01-23,Hyderabad,S002,59,6.37,0,0,26.98,6.49
2023-01-23,Hyderabad,S003,58,16.49,0,0,26.98,6.49
2023-01-23,Hyderabad,S004,65,21.81,0,0,26.98,6.49
2023-01-23,Hyderabad,S005,97,13.59,1,0,26.98,6.49
2023-01-23,Hyderabad,S006,86,16.73,0,0,26.98,6.49
2023-01-23,Kolkata,S001,50,9.89,0,0,33.03,8.53
2023-01-23,Kolkata,S002,64,6.49,0,0,33.03,8.53
2023-01-23,Kolkata,S003,55,16.38,0,0,33.03,8.53
2023-01-23,Kolkata,S004,80,19.56,1,0,33.03,8.53
2023-01-23,Kolkata,S005,95,13.68,1,0,33.03,8.53
2023-01-23,Kolkata,S006,72,16.85,0,0,33.03,8.53
2023-01-23,Mumbai,S001,30,10.11,0,0,24.19,7.8
2023-01-23,Mumbai,S002,36,6.55,0,0,24.19,7.8
2023-01-23,Mumbai,S003,41,16.44,0,0,24.19,7.8
2023-01-23,Mumbai,S004,54,20.01,1,0,24.19,7.8
2023-01-23,Mumbai,S005,64,15.53,0,0,24.19,7.8
