week_start,sku_id,forecast_units,,,
20/01/2025,S001,85.60645794,,,
20/01/2025,S002,86.43071075,,,
20/01/2025,S003,87.10743718,,,
20/01/2025,S004,87.10743718,,,
20/01/2025,S005,57.07876306,,Row Labels,Sum of forecast_units
20/01/2025,S006,86.43071075,,S001,929.516686
27/01/2025,S001,80.77160253,,S002,970.4622474
27/01/2025,S002,81.67930986,,S003,1000.74954
27/01/2025,S003,82.70670864,,S004,1099.697609
27/01/2025,S004,82.88625809,,S005,671.8244833
27/01/2025,S005,56.47211986,,S006,972.132295
27/01/2025,S006,81.67930986,,Grand Total,5644.382861
03/02/2025,S001,75.64867407,,,
03/02/2025,S002,73.76569784,,,
03/02/2025,S003,75.93974638,,,
03/02/2025,S004,88.26141854,,,
03/02/2025,S005,52.734299,,,
03/02/2025,S006,73.76569784,,,
10/02/2025,S001,87.97858973,,,
10/02/2025,S002,86.35484044,,,
10/02/2025,S003,90.50758042,,,
10/02/2025,S004,106.4980356,,,
10/02/2025,S005,61.79506077,,,
10/02/2025,S006,86.35484044,,,
17/02/2025,S001,82.40333147,,,
17/02/2025,S002,81.89680348,,,
17/02/2025,S003,82.40333147,,,
17/02/2025,S004,92.91323175,,,
17/02/2025,S005,55.0278682,,,
17/02/2025,S006,81.89680348,,,
24/02/2025,S001,69.0756612,,,
24/02/2025,S002,70.32073129,,,
24/02/2025,S003,69.0756612,,,
24/02/2025,S004,80.02163105,,,
24/02/2025,S005,45.65543149,,,
24/02/2025,S006,70.32073129,,,
03/03/2025,S001,82.54582481,,,
03/03/2025,S002,83.57304501,,,
03/03/2025,S003,82.54582481,,,
03/03/2025,S004,100.0635299,,,
03/03/2025,S005,54.55983253,,,
03/03/2025,S006,83.57304501,,,
10/03/2025,S001,83.66967996,,,
10/03/2025,S002,83.88362487,,,
10/03/2025,S003,86.68010831,,,
10/03/2025,S004,94.95888014,,,
10/03/2025,S005,54.76597433,,,
10/03/2025,S006,83.88362487,,,
17/03/2025,S001,79.76126553,,,
17/03/2025,S002,77.01812302,,,
17/03/2025,S003,82.59214443,,,
17/03/2025,S004,83.66352439,,,
17/03/2025,S005,52.26848275,,,
17/03/2025,S006,77.41846413,,,
24/03/2025,S001,68.32288015,,,
24/03/2025,S002,67.93467394,,,
24/03/2025,S003,70.96336586,,,
24/03/2025,S004,70.96336586,,,
24/03/2025,S005,45.29134763,,,
24/03/2025,S006,69.20438047,,,
31/03/2025,S001,67.61048329,,,
31/03/2025,S002,61.90787802,,,
31/03/2025,S003,71.16649104,,,
31/03/2025,S004,73.75944788,,,
31/03/2025,S005,43.65442745,,,
31/03/2025,S006,61.90787802,,,
07/04/2025,S001,36.02461582,,,
07/04/2025,S002,60.32561465,,,
07/04/2025,S003,66.93246527,,,
07/04/2025,S004,74.44018588,,,
07/04/2025,S005,48.83244116,,,
07/04/2025,S006,60.32561465,,,
14/04/2025,S001,30.0976195,,,
14/04/2025,S002,55.37119421,,,
14/04/2025,S003,52.12867494,,,
14/04/2025,S004,64.16066313,,,
14/04/2025,S005,43.68843509,,,
14/04/2025,S006,55.37119421,,,
